id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
2120,DNPO,medium_airport,Port Harcourt International Airport,5.015490055,6.949590206,87,AF,Nigeria,NG,Rivers State,NG-RI,RI,Port Harcourt,1,DNPO,PHC,,http://www.faannigeria.org/nigeria-airport.php?airport=4,https://en.wikipedia.org/wiki/Port_Harcourt_International_Airport,,750,2009-03-02T11:56:34+00:00
2115,DNKN,medium_airport,Mallam Aminu International Airport,12.0476,8.52462,1562,AF,Nigeria,NG,Kano State,NG-KN,KN,Kano,1,DNKN,KAN,,http://www.faannigeria.org/nigeria-airport.php?airport=2,https://en.wikipedia.org/wiki/Mallam_Aminu_Kano_International_Airport,,750,2021-11-21T15:47:37+00:00
2106,DNBE,medium_airport,Benin Airport,6.316979885,5.599500179,258,AF,Nigeria,NG,Edo State,NG-ED,ED,Benin,1,DNBE,BNI,,http://www.faannigeria.org/nigeria-airport.php?airport=22,https://en.wikipedia.org/wiki/Benin_Airport,,750,2009-03-02T12:07:00+00:00
32192,NG-QRW,medium_airport,Warri Airport,5.59611,5.81778,242,AF,Nigeria,NG,Delta State,NG-DE,DE,Warri,1,DNSU,QRW,,http://www.faannigeria.org/nigeria-airport.php?airport=25,https://en.wikipedia.org/wiki/Warri_Airport,"Osubi Airstrip, Shell",500,2018-08-30T07:25:48+00:00
300781,DNAS,medium_airport,Asaba International Airport,6.204167,6.665278,305,AF,Nigeria,NG,Delta State,NG-DE,DE,Asaba,0,DNAS,ABB,,,https://en.wikipedia.org/wiki/Asaba_International_Airport,Onitsha,250,2021-10-06T17:12:30+00:00
2114,DNKA,medium_airport,Kaduna Airport,10.6960001,7.320109844,2073,AF,Nigeria,NG,Kaduna State,NG-KD,KD,Kaduna,1,DNKA,KAD,,http://www.faannigeria.org/nigeria-airport.php?airport=10,https://en.wikipedia.org/wiki/Kaduna_Airport,,750,2009-03-02T11:58:49+00:00
2116,DNMA,medium_airport,Maiduguri International Airport,11.85529995,13.08090019,1099,AF,Nigeria,NG,Borno State,NG-BO,BO,Maiduguri,1,DNMA,MIU,,http://www.faannigeria.org/nigeria-airport.php?airport=14,https://en.wikipedia.org/wiki/Maiduguri_International_Airport,,750,2009-03-02T12:01:34+00:00
44578,NG-0003,medium_airport,Gombe Lawanti International Airport,10.298889,10.9,1590,AF,Nigeria,NG,Gombe State,NG-GO,GO,Gombe,1,DNGO,GMO,,,https://en.wikipedia.org/wiki/Gombe_Lawanti_International_Airport,,500,2021-02-11T16:55:44+00:00
2117,DNMK,medium_airport,Makurdi Airport,7.70388,8.61394,371,AF,Nigeria,NG,Benue State,NG-BE,BE,Makurdi,1,DNMK,MDI,,http://www.faannigeria.org/nigeria-airport.php?airport=23,https://en.wikipedia.org/wiki/Makurdi_Airport,,500,2017-03-28T10:38:42+00:00
309668,DNAI,medium_airport,Akwa Ibom International Airport,4.8725,8.093,170,AF,Nigeria,NG,Akwa Ibom State,NG-AK,AK,Uyo,1,DNAI,QUO,,http://www.ibomairport.com.ng/,https://en.wikipedia.org/wiki/Akwa_Ibom_Airport,,500,2021-11-21T16:14:44+00:00
2119,DNMN,medium_airport,Minna Airport,9.652170181,6.462259769,834,AF,Nigeria,NG,Niger State,NG-NI,NI,Minna,0,DNMN,MXJ,,http://www.faannigeria.org/nigeria-airport.php?airport=19,https://en.wikipedia.org/wiki/Minna_Airport,,325,2009-03-02T11:52:12+00:00
2107,DNCA,medium_airport,Margaret Ekpo International Airport,4.976019859,8.347200394,210,AF,Nigeria,NG,Cross River State,NG-CR,CR,Calabar,1,DNCA,CBQ,,http://www.faannigeria.org/nigeria-airport.php?airport=12,https://en.wikipedia.org/wiki/Margaret_Ekpo_International_Airport,,750,2009-03-02T12:00:31+00:00
2108,DNEN,medium_airport,Akanu Ibiam International Airport,6.474269867,7.56196022,466,AF,Nigeria,NG,Enugu State,NG-EN,EN,Enegu,1,DNEN,ENU,,http://www.faannigeria.org/nigeria-airport.php?airport=11,https://en.wikipedia.org/wiki/Akanu_Ibiam_International_Airport,,750,2009-03-02T11:59:58+00:00
2110,DNIB,medium_airport,Ibadan Airport,7.362460136,3.978329897,725,AF,Nigeria,NG,Oyo State,NG-OY,OY,Ibadan,1,DNIB,IBA,,http://www.faannigeria.org/nigeria-airport.php?airport=7,https://en.wikipedia.org/wiki/Ibadan_Airport,,750,2009-03-02T12:05:41+00:00
2111,DNIL,medium_airport,Ilorin International Airport,8.440210342,4.493919849,1126,AF,Nigeria,NG,Kwara State,NG-KW,KW,Ilorin,1,DNIL,ILR,,http://www.faannigeria.org/nigeria-airport.php?airport=20,https://en.wikipedia.org/wiki/Ilorin_International_Airport,,750,2009-03-02T12:07:48+00:00
2121,DNSO,medium_airport,Sadiq Abubakar III International Airport,12.91629982,5.207190037,1010,AF,Nigeria,NG,Sokoto State,NG-SO,SO,Sokoto,1,DNSO,SKO,,http://www.faannigeria.org/nigeria-airport.php?airport=13,https://en.wikipedia.org/wiki/Sadiq_Abubakar_III_International_Airport,,750,2009-03-02T12:02:15+00:00
2122,DNYO,medium_airport,Yola Airport,9.25755024,12.43039989,599,AF,Nigeria,NG,Adamawa State,NG-AD,AD,Yola,1,DNYO,YOL,,http://www.faannigeria.org/nigeria-airport.php?airport=16,https://en.wikipedia.org/wiki/Yola_Airport,,750,2009-03-02T12:03:38+00:00
300565,NG-0004,small_airport,Port Harcourt City Airport / Port Harcourt Air Force Base,4.846111,7.021389,57,AF,Nigeria,NG,Rivers State,NG-RI,RI,Port Harcourt,1,,PHG,,,https://en.wikipedia.org/wiki/Port_Harcourt_NAF_Base,Port Harcourt NAF Base,100,2021-03-02T12:21:04+00:00
4970,DN56,small_airport,Escravos Airport,5.61673,5.188485,10,AF,Nigeria,NG,Delta State,NG-DE,DE,Escravos,0,DNES,,,,https://en.wikipedia.org/wiki/Escravos_Airstrip,DN56,50,2021-03-30T11:23:51+00:00
323031,DNFD,small_airport,Forçados Terminal Airport,5.355,5.349002,11,AF,Nigeria,NG,Delta State,NG-DE,DE,Forçados,0,DNFD,,,,,,50,2021-01-27T11:25:18+00:00
2113,DNJO,medium_airport,Yakubu Gowon Airport,9.639829636,8.869050026,4232,AF,Nigeria,NG,Plateau State,NG-PL,PL,Jos,1,DNJO,JOS,,http://www.faannigeria.org/nigeria-airport.php?airport=15,https://en.wikipedia.org/wiki/Yakubu_Gowon_Airport,,625,2009-03-02T12:10:13+00:00
2105,DNAK,medium_airport,Akure Airport,7.246739864,5.301010132,1100,AF,Nigeria,NG,Ondo State,NG-ON,ON,Akure,1,DNAK,AKR,,http://www.faannigeria.org/nigeria-airport.php?airport=21,https://en.wikipedia.org/wiki/Akure_Airport,,550,2009-03-02T12:33:45+00:00
2112,DNIM,medium_airport,Sam Mbakwe International Airport,5.427060127,7.206029892,373,AF,Nigeria,NG,Imo State,NG-IM,IM,Owerri,1,DNIM,QOW,,http://www.faannigeria.org/nigeria-airport.php?airport=17,https://en.wikipedia.org/wiki/Sam_Mbakwe_International_Cargo_Airport,Imo Airport,550,2009-03-02T12:13:19+00:00
323056,DNBC,medium_airport,Sir Abubakar Tafawa Balewa International Airport,10.482833,9.744,1965,AF,Nigeria,NG,Bauchi State,NG-BA,BA,Bauchi,1,DNBC,BCU,,,https://en.wikipedia.org/wiki/Bauchi_State_Airport,Bauchi State Airport,500,2017-05-07T00:55:35+00:00
340295,DNBY,medium_airport,Bayelsa International Airport,4.95759,6.203327,67,AF,Nigeria,NG,Bayelsa State,NG-BY,BY,Yenagoa,1,DNBY,,,,https://en.wikipedia.org/wiki/Bayelsa_International_Airport,,500,2022-10-05T12:04:10+00:00
2109,DNGU,medium_airport,Gusau Airport,12.1717,6.69611,1520,AF,Nigeria,NG,Zamfara State,NG-ZA,ZA,Gusau,0,DNGU,,,,,QUS,250,2017-01-07T13:07:48+00:00
2123,DNZA,medium_airport,Zaria Airport,11.1302,7.68581,2170,AF,Nigeria,NG,Kaduna State,NG-KD,KD,Zaria,0,DNZA,ZAR,,http://www.faannigeria.org/nigeria-airport.php?airport=24,https://en.wikipedia.org/wiki/Zaria_Airport,,250,2017-03-28T10:40:09+00:00
313797,NG-0005,small_airport,Srr Ahmadu Bello International Airport,12.480556,4.369445,775,AF,Nigeria,NG,Kebbi State,NG-KE,KE,Birinin Kebbi,1,DNBK,,,,https://en.wikipedia.org/wiki/Kebbi_International_Airport#Airlines_and_destinations,Kebbi International Airport,100,2017-05-05T14:06:16+00:00
