airline_sentiment,negativereason,sex,age
neutral,Well service is ok,female,22
positive,Well service is ok,female,22
neutral,Well service is ok,male,17
negative,Bad Flight,female,20
negative,Can't Tell,female,23
negative,Can't Tell,male,4
positive,Well service is ok,female,17
neutral,Well service is ok,female,30
positive,Well service is ok,female,27
positive,Well service is ok,male,30
neutral,Well service is ok,female,4
positive,Well service is ok,female,15
positive,Well service is ok,male,3
positive,Well service is ok,male,10
positive,Well service is ok,male,10
negative,Late Flight,male,22
positive,Well service is ok,female,30
negative,Bad Flight,male,2
positive,Well service is ok,female,2
positive,Well service is ok,female,23
negative,Can't Tell,female,4
positive,Well service is ok,female,25
positive,Well service is ok,male,18
neutral,Well service is ok,female,11
negative,Customer Service Issue,male,28
negative,Customer Service Issue,female,28
negative,Can't Tell,male,10
neutral,Well service is ok,male,19
negative,Bad Flight,male,27
neutral,Well service is ok,male,26
negative,Flight Booking Problems,female,12
neutral,Well service is ok,female,17
negative,Customer Service Issue,female,11
negative,Customer Service Issue,female,27
positive,Well service is ok,male,19
neutral,Well service is ok,male,26
positive,Well service is ok,male,8
positive,Well service is ok,female,20
neutral,Well service is ok,male,16
negative,Customer Service Issue,male,1
positive,Well service is ok,male,28
negative,Flight Booking Problems,female,26
neutral,Well service is ok,male,30
neutral,Well service is ok,male,26
neutral,Well service is ok,male,19
positive,Well service is ok,female,19
neutral,Well service is ok,male,2
positive,Well service is ok,male,15
neutral,Well service is ok,female,6
neutral,Well service is ok,female,16
neutral,Well service is ok,male,7
positive,Well service is ok,male,2
neutral,Well service is ok,male,10
neutral,Well service is ok,female,19
neutral,Well service is ok,male,16
negative,Flight Booking Problems,male,15
positive,Well service is ok,female,12
positive,Well service is ok,female,15
neutral,Well service is ok,male,18
neutral,Well service is ok,female,8
neutral,Well service is ok,female,12
negative,Customer Service Issue,female,20
neutral,Well service is ok,female,17
neutral,Well service is ok,male,28
positive,Well service is ok,female,6
neutral,Well service is ok,male,29
negative,Customer Service Issue,female,14
negative,Late Flight,male,20
positive,Well service is ok,female,24
negative,Lost Luggage,female,7
neutral,Well service is ok,female,7
neutral,Well service is ok,female,20
neutral,Well service is ok,male,7
negative,Flight Attendant Complaints,male,22
positive,Well service is ok,male,5
positive,Well service is ok,male,19
neutral,Well service is ok,male,29
neutral,Well service is ok,female,3
negative,Customer Service Issue,male,19
neutral,Well service is ok,male,17
negative,Customer Service Issue,male,9
positive,Well service is ok,male,30
negative,Late Flight,male,9
negative,Can't Tell,female,22
negative,Can't Tell,female,12
negative,Flight Booking Problems,male,1
neutral,Well service is ok,male,5
neutral,Well service is ok,male,4
neutral,Well service is ok,male,15
negative,Can't Tell,male,7
neutral,Well service is ok,male,25
neutral,Well service is ok,male,13
negative,Cancelled Flight,male,29
negative,Late Flight,male,4
neutral,Well service is ok,male,1
negative,Customer Service Issue,female,17
negative,Customer Service Issue,female,11
negative,Can't Tell,female,5
negative,Flight Booking Problems,female,5
negative,Customer Service Issue,male,28
neutral,Well service is ok,male,3
negative,Late Flight,male,26
neutral,Well service is ok,male,28
negative,Late Flight,male,26
negative,Late Flight,female,26
positive,Well service is ok,male,5
negative,Customer Service Issue,female,10
negative,Flight Booking Problems,male,24
neutral,Well service is ok,female,5
positive,Well service is ok,female,20
neutral,Well service is ok,male,24
positive,Well service is ok,female,24
neutral,Well service is ok,female,15
positive,Well service is ok,female,14
positive,Well service is ok,male,16
negative,Late Flight,female,30
positive,Well service is ok,male,2
positive,Well service is ok,male,6
positive,Well service is ok,male,13
positive,Well service is ok,female,15
negative,Customer Service Issue,female,9
negative,Flight Booking Problems,female,3
negative,Customer Service Issue,female,11
positive,Well service is ok,male,17
positive,Well service is ok,male,14
neutral,Well service is ok,male,19
negative,Customer Service Issue,male,23
positive,Well service is ok,male,14
neutral,Well service is ok,male,7
neutral,Well service is ok,female,12
negative,Customer Service Issue,male,4
negative,Can't Tell,female,22
neutral,Well service is ok,female,10
negative,Cancelled Flight,female,9
negative,Late Flight,male,1
negative,Customer Service Issue,male,27
positive,Well service is ok,male,26
neutral,Well service is ok,female,18
positive,Well service is ok,female,27
negative,Flight Booking Problems,female,28
negative,Flight Attendant Complaints,male,19
positive,Well service is ok,female,16
neutral,Well service is ok,female,23
negative,Late Flight,male,13
positive,Well service is ok,female,26
negative,Cancelled Flight,male,6
negative,Flight Booking Problems,female,19
positive,Well service is ok,male,2
positive,Well service is ok,male,15
negative,Damaged Luggage,female,25
negative,Damaged Luggage,male,12
neutral,Well service is ok,female,7
positive,Well service is ok,female,5
neutral,Well service is ok,male,8
neutral,Well service is ok,female,4
neutral,Well service is ok,male,18
neutral,Well service is ok,male,7
negative,Customer Service Issue,male,16
negative,Cancelled Flight,male,22
negative,Flight Booking Problems,male,10
negative,Late Flight,female,29
negative,Cancelled Flight,female,7
negative,Bad Flight,male,9
negative,Customer Service Issue,female,2
negative,Customer Service Issue,male,18
negative,Customer Service Issue,male,2
neutral,Well service is ok,male,14
negative,Customer Service Issue,male,22
negative,longlines,female,12
neutral,Well service is ok,male,27
neutral,Well service is ok,male,11
neutral,Well service is ok,female,17
neutral,Well service is ok,female,11
negative,Can't Tell,male,16
negative,Customer Service Issue,male,6
neutral,Well service is ok,female,21
positive,Well service is ok,male,8
negative,Customer Service Issue,female,8
negative,Cancelled Flight,male,16
neutral,Well service is ok,female,24
neutral,Well service is ok,female,1
negative,Customer Service Issue,female,17
negative,Cancelled Flight,male,8
positive,Well service is ok,female,26
positive,Well service is ok,male,3
neutral,Well service is ok,female,16
negative,Can't Tell,male,24
negative,Flight Attendant Complaints,male,15
neutral,Well service is ok,male,17
positive,Well service is ok,female,8
neutral,Well service is ok,female,16
negative,Flight Booking Problems,female,28
negative,Can't Tell,male,20
positive,Well service is ok,female,3
negative,Flight Booking Problems,male,2
negative,Cancelled Flight,male,7
negative,Flight Booking Problems,female,3
negative,Cancelled Flight,female,13
negative,Cancelled Flight,female,22
positive,Well service is ok,male,1
negative,Customer Service Issue,male,9
positive,Well service is ok,female,22
neutral,Well service is ok,male,16
positive,Well service is ok,female,23
positive,Well service is ok,female,26
positive,Well service is ok,male,15
positive,Well service is ok,female,2
neutral,Well service is ok,female,7
positive,Well service is ok,male,23
negative,Bad Flight,female,13
negative,Late Flight,male,29
negative,Cancelled Flight,female,1
positive,Well service is ok,male,3
negative,Cancelled Flight,male,24
negative,Customer Service Issue,female,5
neutral,Well service is ok,male,27
negative,Customer Service Issue,male,7
negative,Cancelled Flight,female,27
negative,Cancelled Flight,female,20
negative,Customer Service Issue,female,19
negative,Flight Booking Problems,female,8
negative,Cancelled Flight,female,12
positive,Well service is ok,male,29
positive,Well service is ok,male,19
negative,Can't Tell,male,19
neutral,Well service is ok,male,10
negative,Customer Service Issue,female,26
positive,Well service is ok,female,24
negative,Flight Booking Problems,female,22
positive,Well service is ok,male,6
positive,Well service is ok,female,30
positive,Well service is ok,female,13
negative,Customer Service Issue,female,19
positive,Well service is ok,female,26
positive,Well service is ok,female,29
positive,Well service is ok,female,28
negative,Late Flight,female,16
negative,Cancelled Flight,female,17
positive,Well service is ok,female,13
positive,Well service is ok,female,10
neutral,Well service is ok,male,23
neutral,Well service is ok,male,19
negative,Customer Service Issue,male,13
negative,Lost Luggage,female,14
positive,Well service is ok,female,19
negative,Customer Service Issue,male,1
positive,Well service is ok,female,2
positive,Well service is ok,male,4
positive,Well service is ok,female,13
negative,Bad Flight,male,25
negative,Flight Booking Problems,female,9
negative,Damaged Luggage,male,7
positive,Well service is ok,female,22
neutral,Well service is ok,male,25
